FSC,DSEC,PTE,IVP,RBU,EMC_Final,label,model
0.266392638251806,1.0,0.6424079,0.03861135980839782,1.0,0.1030722455200181,0.0,llama-3.1-8b-instant
0.33640811067470033,1.0,0.6684499,0.05855918647511225,1.0,0.15287655416458854,0.0,qwen/qwen3-32b
0.29360291826225887,1.0,0.7075199,0.05079856847929984,1.0,0.1274365070704276,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3319640078467256,1.0,0.70246756,0.06231849470566565,1.0,0.15758161496389236,0.0,llama-3.1-8b-instant
0.36193415840119697,1.0,0.6590526,0.05784360091062944,1.0,0.15050854049402987,0.0,qwen/qwen3-32b
0.30958039487708017,1.0,0.7386944,0.05914853193270804,1.0,0.1383644801832232,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3096296996809497,1.0,0.696023,0.052331233382899356,1.0,0.13026969715789127,1.0,llama-3.1-8b-instant
0.3582204791070088,1.0,0.6461563,0.058016732119638,1.0,0.15450581452274256,1.0,qwen/qwen3-32b
0.24489656623768366,1.0,0.89868176,0.0925564488014957,1.0,0.17933828526014517,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.42066352007758795,1.0,0.87443703,0.15825248055615684,1.0,0.2919215754590014,1.0,llama-3.1-8b-instant
0.34665687049033184,1.0,0.7172279,0.06603633145635784,1.0,0.16398468752594864,1.0,qwen/qwen3-32b
0.3503920133651127,1.0,0.72392666,0.06673328244733875,1.0,0.16012932425021506,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.31273725364869714,1.0,0.6867845,0.05301745588926033,1.0,0.13365782280806818,1.0,llama-3.1-8b-instant
0.33884909130567326,1.0,0.6016884,0.046568959817382155,1.0,0.12775999744848937,1.0,qwen/qwen3-32b
0.24681176207033662,1.0,0.77676505,0.05385711362335914,1.0,0.126570181359755,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3234192944084694,1.0,0.7314235,0.06440547310486153,1.0,0.15537536913435485,1.0,llama-3.1-8b-instant
0.356458756308755,1.0,0.60054314,0.049950769005604356,1.0,0.13882977007890943,1.0,qwen/qwen3-32b
0.3587825280290835,1.0,0.6679584,0.05804860810675963,1.0,0.14687454925404225,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.32304482825079844,1.0,0.6616304,0.05018887418277968,1.0,0.1288944396744409,1.0,llama-3.1-8b-instant
0.3723537246422557,1.0,0.6179455,0.05519505833342784,1.0,0.14763870211519967,1.0,qwen/qwen3-32b
0.39981395763787475,1.0,0.7249969,0.07972947882792618,1.0,0.18449558089232204,1.0,meta-llama/llama-4-scout-17b-16e-instruct
0.28489567750030903,1.0,0.7522484,0.057029797385057306,1.0,0.13450005200866896,1.0,llama-3.1-8b-instant
0.35418031699757846,0.99999994,0.6765046,0.06474688017067642,0.99999994,0.16665072734016842,1.0,qwen/qwen3-32b
0.2296385507367695,1.0,0.7685271,0.04770105768746195,1.0,0.1137930901098502,1.0,meta-llama/llama-4-scout-17b-16e-instruct
